"48";"tt0114709";"Toy Story";"1995";"1h 21m";"John Lasseter";"Shameik Moore, Hailee Steinfeld, Brian Tyree Henry";"8.3";"Animation"
"49";"tt0119698";"Princess Mononoke";"1997";"2h 14m";"Hayao Miyazaki";"Shameik Moore, Hailee Steinfeld, Brian Tyree Henry";"8.3";"Animation"
"50";"tt5311514";"Your Name.";"2016";"1h 46m";"Makoto Shinkai";"Shameik Moore, Hailee Steinfeld, Brian Tyree Henry";"8.4";"Animation"
"51";"tt0435761";"Toy Story 3";"2010";"1h 43m";"Lee Unkrich";"Shameik Moore, Hailee Steinfeld, Brian Tyree Henry";"8.3";"Animation"
"52";"tt1049413";"Up";"2009";"1h 36m";"Pete Docter";"Shameik Moore, Hailee Steinfeld, Brian Tyree Henry";"8.3";"Animation"
"53";"tt0266543";"Finding Nemo";"2003";"1h 40m";"Andrew Stanton";"Shameik Moore, Hailee Steinfeld, Brian Tyree Henry";"8.2";"Animation"
"54";"tt0347149";"Howl's Moving Castle";"2004";"1h 59m";"Hayao Miyazaki";"Shameik Moore, Hailee Steinfeld, Brian Tyree Henry";"8.2";"Animation"
"55";"tt2096673";"Inside Out";"2015";"1h 35m";"Pete Docter";"Shameik Moore, Hailee Steinfeld, Brian Tyree Henry";"8.1";"Animation"
"56";"tt4729430";"Klaus";"2019";"1h 36m";"Sergio Pablos";"Shameik Moore, Hailee Steinfeld, Brian Tyree Henry";"8.2";"Animation"
"57";"tt0096283";"My Neighbour Totoro";"1988";"1h 26m";"Hayao Miyazaki";"Shameik Moore, Hailee Steinfeld, Brian Tyree Henry";"8.1";"Animation"
"58";"tt0198781";"Monsters, Inc.";"2001";"1h 32m";"Pete Docter";"Shameik Moore, Hailee Steinfeld, Brian Tyree Henry";"8.1";"Animation"
"59";"tt0892769";"How to Train Your Dragon";"2010";"1h 38m";"Dean DeBlois";"Shameik Moore, Hailee Steinfeld, Brian Tyree Henry";"8.1";"Animation"
"60";"tt0978762";"Mary and Max";"2009";"1h 32m";"Adam Elliot";"Shameik Moore, Hailee Steinfeld, Brian Tyree Henry";"8.1";"Animation"
"61";"tt0108052";"Schindler's List";"1993";"3h 15m";"Steven Spielberg";"Liam Neeson, Ralph Fiennes, Ben Kingsley";"9";"Biography"
"62";"tt0099685";"GoodFellas";"1990";"2h 25m";"Martin Scorsese";"Liam Neeson, Ralph Fiennes, Ben Kingsley";"8.7";"Biography"
"63";"tt0253474";"The Pianist";"2002";"2h 30m";"Roman Polanski";"Liam Neeson, Ralph Fiennes, Ben Kingsley";"8.5";"Biography"
"64";"tt1675434";"Untouchable";"2011";"1h 52m";"Olivier Nakache";"Liam Neeson, Ralph Fiennes, Ben Kingsley";"8.5";"Biography"
"65";"tt15398776";"Oppenheimer";"2023";"3h";"Christopher Nolan";"Liam Neeson, Ralph Fiennes, Ben Kingsley";"8.4";"Biography"
"66";"tt0086879";"Amadeus";"1984";"2h 40m";"Milos Forman";"Liam Neeson, Ralph Fiennes, Ben Kingsley";"8.4";"Biography"
"67";"tt0112573";"Braveheart";"1995";"2h 58m";"Mel Gibson";"Liam Neeson, Ralph Fiennes, Ben Kingsley";"8.3";"Biography"
"68";"tt0056172";"Lawrence of Arabia";"1962";"3h 38m";"David Lean";"Liam Neeson, Ralph Fiennes, Ben Kingsley";"8.3";"Biography"
"69";"tt8503618";"Hamilton";"2020";"2h 40m";"Thomas Kail";"Liam Neeson, Ralph Fiennes, Ben Kingsley";"8.3";"Biography"
"70";"tt0363163";"Downfall";"2004";"2h 36m";"Oliver Hirschbiegel";"Liam Neeson, Ralph Fiennes, Ben Kingsley";"8.2";"Biography"
"71";"tt5074352";"Dangal";"2016";"2h 41m";"Nitesh Tiwari";"Liam Neeson, Ralph Fiennes, Ben Kingsley";"8.3";"Biography"
"72";"tt0993846";"The Wolf of Wall Street";"2013";"3h";"Martin Scorsese";"Liam Neeson, Ralph Fiennes, Ben Kingsley";"8.2";"Biography"
"73";"tt6966692";"Green Book";"2018";"2h 10m";"Peter Farrelly";"Liam Neeson, Ralph Fiennes, Ben Kingsley";"8.2";"Biography"
"74";"tt0268978";"A Beautiful Mind";"2001";"2h 15m";"Ron Howard";"Liam Neeson, Ralph Fiennes, Ben Kingsley";"8.2";"Biography"
"75";"tt0080678";"The Elephant Man";"1980";"2h 4m";"David Lynch";"Liam Neeson, Ralph Fiennes, Ben Kingsley";"8.2";"Biography"
"76";"tt0081398";"Raging Bull";"1980";"2h 9m";"Martin Scorsese";"Liam Neeson, Ralph Fiennes, Ben Kingsley";"8.1";"Biography"
"77";"tt23849204";"12th Fail";"2023";"2h 27m";"Vidhu Vinod Chopra";"Liam Neeson, Ralph Fiennes, Ben Kingsley";"9.2";"Biography"
"78";"tt0264464";"Catch Me If You Can";"2002";"2h 21m";"Steven Spielberg";"Liam Neeson, Ralph Fiennes, Ben Kingsley";"8.1";"Biography"
"79";"tt2024544";"12 Years a Slave";"2013";"2h 14m";"Steve McQueen";"Liam Neeson, Ralph Fiennes, Ben Kingsley";"8.1";"Biography"
"80";"tt2119532";"Hacksaw Ridge";"2016";"2h 19m";"Mel Gibson";"Liam Neeson, Ralph Fiennes, Ben Kingsley";"8.1";"Biography"
"81";"tt0118799";"Life Is Beautiful";"1997";"1h 56m";"Roberto Benigni";"Roberto Benigni, Nicoletta Braschi, Giorgio Cantarini";"8.6";"Comedy"
"82";"tt0088763";"Back to the Future";"1985";"1h 56m";"Robert Zemeckis";"Roberto Benigni, Nicoletta Braschi, Giorgio Cantarini";"8.5";"Comedy"
"83";"tt1675434";"Untouchable";"2011";"1h 52m";"Olivier Nakache";"Roberto Benigni, Nicoletta Braschi, Giorgio Cantarini";"8.5";"Comedy"
"84";"tt0027977";"Modern Times";"1936";"1h 27m";"Charles Chaplin";"Roberto Benigni, Nicoletta Braschi, Giorgio Cantarini";"8.5";"Comedy"
"85";"tt0021749";"City Lights";"1931";"1h 27m";"Charles Chaplin";"Roberto Benigni, Nicoletta Braschi, Giorgio Cantarini";"8.5";"Comedy"
"86";"tt4633694";"Spider-Man: Into the Spider-Verse";"2018";"1h 57m";"Bob Persichetti";"Roberto Benigni, Nicoletta Braschi, Giorgio Cantarini";"8.4";"Comedy"
"87";"tt0032553";"The Great Dictator";"1940";"2h 5m";"Charles Chaplin";"Roberto Benigni, Nicoletta Braschi, Giorgio Cantarini";"8.4";"Comedy"
"88";"tt0057012";"Dr";"1964";"1h 35m";"Stanley Kubrick";"Roberto Benigni, Nicoletta Braschi, Giorgio Cantarini";"8.4";"Comedy"
"89";"tt0114709";"Toy Story";"1995";"1h 21m";"John Lasseter";"Roberto Benigni, Nicoletta Braschi, Giorgio Cantarini";"8.3";"Comedy"
"90";"tt1187043";"3 Idiots";"2009";"2h 50m";"Rajkumar Hirani";"Roberto Benigni, Nicoletta Braschi, Giorgio Cantarini";"8.4";"Comedy"
"91";"tt0045152";"Singin' in the Rain";"1952";"1h 43m";"Stanley Donen";"Roberto Benigni, Nicoletta Braschi, Giorgio Cantarini";"8.3";"Comedy"
"92";"tt0435761";"Toy Story 3";"2010";"1h 43m";"Lee Unkrich";"Roberto Benigni, Nicoletta Braschi, Giorgio Cantarini";"8.3";"Comedy"
"93";"tt0053604";"The Apartment";"1960";"2h 5m";"Billy Wilder";"Roberto Benigni, Nicoletta Braschi, Giorgio Cantarini";"8.3";"Comedy"
"94";"tt0211915";"Amélie";"2001";"2h 2m";"Jean-Pierre Jeunet";"Roberto Benigni, Nicoletta Braschi, Giorgio Cantarini";"8.3";"Comedy"
"95";"tt1049413";"Up";"2009";"1h 36m";"Pete Docter";"Roberto Benigni, Nicoletta Braschi, Giorgio Cantarini";"8.3";"Comedy"
"96";"tt0070735";"The Sting";"1973";"2h 9m";"George Roy Hill";"Roberto Benigni, Nicoletta Braschi, Giorgio Cantarini";"8.3";"Comedy"
"97";"tt0208092";"Snatch";"2000";"1h 44m";"Guy Ritchie";"Roberto Benigni, Nicoletta Braschi, Giorgio Cantarini";"8.2";"Comedy"
"98";"tt0053291";"Some Like It Hot";"1959";"2h 1m";"Billy Wilder";"Roberto Benigni, Nicoletta Braschi, Giorgio Cantarini";"8.2";"Comedy"
